Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
MUDRA,X13,PoS,5000000.0,200000000.0,-0.23002324410162678,1.5651640379697138,-0.2446629099216289,MudraCoin,3
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22145163435291756,-0.9337077964862255,0.024622424402235048,PizzaCoin,0
LC,X11,PoS,657000000.0,657000000.0,-0.3333840440494619,0.9942111694795049,-0.17410856515364415,Lutetium Coin,3
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.2813982411077572,-1.7969109531017726,0.39185065267407326,Komodo,0
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.3894735223224739,1.1787491712290765,-0.40623832317412106,GoldBlocks,3
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.33678504534988246,0.9872502147099362,-0.4274559097248463,CarterCoin,3
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.3087047753570963,-2.268997204808418,0.3209087581087629,Karbo,0
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.31512850987694213,0.8094170545632674,-0.28492087420911055,BitTokens,3
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14676693620114722,-1.3030385862596494,0.1459324463036454,ZayedCoin,0
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.38998890525034313,1.17876522998792,-0.40622863613418964,MustangCoin,3
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.3377700898156329,0.9872665169997963,-0.4274361356299239,ZoneCoin,3
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.10181485699650003,-1.8164445453894662,0.2610020312547712,Circuits of Value,0
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.3379268558477035,0.9872760329523516,-0.4274335943907681,RootCoin,3
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.16673251979456688,-1.125235357054393,0.003363636389025183,DopeCoin,0
BTCR,Scrypt,PoS,169598616.0,0.0,-0.2919291311649232,0.8028360302704954,-0.19509521128432014,BitCurrency,3
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.14672556761834665,-1.3030378923420527,0.14593149521371118,DollarCoin,0
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.23845529744574098,0.12203709480585882,-0.386438828684824,Swiscoin,3
SH,Scrypt,PoW,11119200.0,30000000.0,-0.16922952570765634,-1.125197423641974,0.003414058886092311,Shilling,0
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.03357092416478516,1.8699826257260495,-0.568241711445137,BuzzCoin,3
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.35134571496226835,1.5530781580916968,-0.08902332485795085,Opair,3
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3375410701688695,0.9872883171974521,-0.4274429725754309,PesoBit,3
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.3761478179228686,1.1781717667769487,-0.4064745965918512,Halloween Coin,3
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.14690730578222158,-2.1403020316463937,0.2795703340799211,ZCoin,0
CFC,PoS,PoS,148716816.0,39999898.0,-0.35067457976587735,1.5531230172385373,-0.08904169529944908,CoffeeCoin,3
ROYAL,X13,PoS,2500124.0,2500124.0,-0.23145436485148552,1.5652549095754018,-0.2446400609703764,RoyalCoin,3
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.4298268066761929,1.993792304095919,-0.4857389087722522,GanjaCoin V2,3
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.3504225928654541,1.55295073073923,-0.08903204116831546,TeamUP,3
